"Month","Day","Year","Date","Victims_Killed","Victims_Wounded","Number_Victims","Media_Attention","Quarter","State","School_Level","During_School","Time_Period","Age","Weapon_Type","AgeGroup"
6,14,2021,"6/14/2021",0,0,0,"Local","Summer","NC","Middle school","No","Evening",NA,"Multiple Handguns",NA
6,14,2021,"6/14/2021",0,0,0,"Local","Summer","NC","Middle school","No","Evening",NA,"Multiple Handguns",NA
6,14,2021,"6/14/2021",0,0,0,"Local","Summer","NC","High School","No","Not a School Day","26","Handgun","Adult"
6,14,2021,"6/14/2021",0,0,0,"Local","Summer","NC","High School","No","Not a School Day","26","Rifle","Adult"
6,13,2021,"6/13/2021",1,0,1,"Local","Summer","PA","K-8th","No","Night",NA,"Handgun",NA
6,12,2021,"6/12/2021",1,0,1,"Local","Summer","MO","High School","No","Night","18","Handgun","Teen"
6,10,2021,"6/10/2021",0,0,0,"Local","Summer","CT","High School","No","Before School","41","Multiple Handguns","Adult"
6,10,2021,"6/10/2021",0,0,0,"Local","Summer","CT","High School","No","Before School","45","Multiple Handguns","Adult"
6,9,2021,"6/9/2021",0,1,1,"Local","Summer","TX","High School","Yes","School Event","18","Handgun","Teen"
6,9,2021,"6/9/2021",0,1,1,"National",NA,"VA","High School","No","Sport Event","Teen","Handgun","Teen"
6,8,2021,"6/8/2021",0,0,0,"Local","Summer","PA","Elementary","No","Evening","17","Handgun","Teen"
6,7,2021,"6/7/2021",1,0,1,"National",NA,"TX","High School","No","Sport Event",NA,"Handgun",NA
6,6,2021,"6/6/2021",0,0,0,"Local",NA,"VA","Elementary","No","Night",NA,"Multiple Handguns",NA
6,6,2021,"6/6/2021",0,0,0,"Local",NA,"VA","Elementary","No","Night",NA,"Multiple Handguns",NA
6,1,2021,"6/1/2021",0,1,1,"Local","Summer","IL","High School","No","Evening","17","Handgun","Teen"
5,25,2021,"5/25/2021",0,0,0,"Local","Spring","NJ","Elementary","Yes","Afternoon Classes","15","Rifle","Teen"
5,17,2021,"5/17/2021",0,0,0,"Local","Spring","TX","Middle school","Yes","Afternoon Classes","13","Other","Teen"
5,17,2021,"5/17/2021",0,1,1,"Local","Spring","TN","Elementary","Yes","Morning Classes","51","Handgun","Adult"
5,17,2021,"5/17/2021",0,0,0,"Local","Spring","MD","High School","Yes","Morning Classes","18","Multiple Handguns","Teen"
5,17,2021,"5/17/2021",0,0,0,"Local","Spring","MD","High School","Yes","Morning Classes","20","Multiple Handguns","Adult"
5,14,2021,"5/14/2021",1,0,1,"National","Spring","CA","High School","No","Night","16","Handgun","Teen"
5,14,2021,"5/14/2021",1,0,1,"National","Spring","CA","High School","No","Night","16","Handgun","Teen"
5,11,2021,"5/11/2021",0,0,0,"Local","Spring","CA","High School","Yes","Afternoon Classes",NA,"Other",NA
5,11,2021,"5/11/2021",0,1,1,"Local","Spring","NY","K-8th","No","Evening","Teen","Handgun","Teen"
5,6,2021,"5/6/2021",0,0,0,"National","Spring","SC","Elementary","Yes","Before School","23","Rifle","Adult"
5,6,2021,"5/6/2021",0,3,3,"International","Spring","ID","Middle school","Yes","Morning Classes","13","Handgun","Teen"
5,5,2021,"5/5/2021",0,1,1,"Local","Spring","MI","High School","Yes","Afternoon Classes","Adult","Handgun","Adult"
5,5,2021,"5/5/2021",0,0,0,"Regional","Spring","SC","High School","Yes","School Start","Teen","Handgun","Teen"
5,2,2021,"5/2/2021",0,5,5,"Local","Spring","IL","High School","No","Night","Adult","Multiple Handguns","Adult"
5,2,2021,"5/2/2021",0,5,5,"Local","Spring","IL","High School","No","Night","Adult","Multiple Handguns","Adult"
5,1,2021,"5/1/2021",0,0,0,"Local","Spring","MN","Elementary","No","Night","Adult","Multiple Handguns","Adult"
5,1,2021,"5/1/2021",0,0,0,"Local","Spring","MN","Elementary","No","Night","Adult","Multiple Handguns","Adult"
5,1,2021,"5/1/2021",0,0,0,"Local","Spring","MN","Elementary","No","Night","Adult","Multiple Handguns","Adult"
4,30,2021,"4/30/2021",0,1,1,"Regional","Spring","IN","Elementary","Yes","Afternoon Classes","Adult","Handgun","Adult"
4,29,2021,"4/29/2021",1,0,1,"Regional","Spring","NY","High School","Yes","Dismissal","15","Multiple Handguns","Teen"
4,29,2021,"4/29/2021",1,0,1,"Regional","Spring","NY","High School","Yes","Dismissal","16","Multiple Handguns","Teen"
4,29,2021,"4/29/2021",0,1,1,"Regional","Spring","CA","High School","Yes","Lunch","17","Handgun","Teen"
4,27,2021,"4/27/2021",0,0,0,"Local","Spring","TN","Other","Yes","Dismissal","Adult","Handgun","Adult"
4,27,2021,"4/27/2021",1,0,1,"Regional","Spring","DE","Middle school","Yes","Morning Classes","47","Handgun","Adult"
4,26,2021,"4/26/2021",0,0,0,"National","Spring","MN","Middle school","Yes","Morning Classes","12","Handgun","Teen"
4,20,2021,"4/20/2021",1,0,1,"Local","Spring","TX","High School","No","Night","Adult","Handgun","Adult"
4,20,2021,"4/20/2021",1,0,1,"Local","Spring","TX","High School","No","Night","Adult","Handgun","Adult"
4,18,2021,"4/18/2021",1,1,2,"Local","Spring","OH","Elementary","No","Not a School Day",NA,"Handgun",NA
4,12,2021,"4/12/2021",0,0,0,"Regional","Spring","CA","High School","No","Evening","36","Rifle","Adult"
4,12,2021,"4/12/2021",0,0,0,"Regional","Spring","CA","High School","No","Evening","36","Handgun","Adult"
4,11,2021,"4/11/2021",1,0,1,"Regional","Spring","IN","High School","No","Night","38","Handgun","Adult"
4,7,2021,"4/7/2021",0,0,0,"Local","Spring","IL","High School","Yes","Morning Classes","14","Handgun","Teen"
4,6,2021,"4/6/2021",0,0,0,"Local","Spring","IL","High School","Yes","Afternoon Classes","19","Other","Adult"
4,1,2021,"4/1/2021",0,0,0,"Local","Spring","OK","High School","Yes","Evening",NA,"Other",NA
4,1,2021,"4/1/2021",0,0,0,"Regional","Spring","AL","High School","Yes","Lunch","15","Handgun","Teen"
3,26,2021,"3/26/2021",0,0,0,"Local","Spring","MO","Elementary","No","Night","33","Handgun","Adult"
3,24,2021,"3/24/2021",1,1,2,"Local","Spring","OR","Elementary","No","Evening","Teen","Handgun","Teen"
3,19,2021,"3/19/2021",0,0,0,"Local","Spring","WV","Middle school","Yes","Dismissal","Teen","Other","Teen"
3,19,2021,"3/19/2021",0,0,0,"Local","Spring","WV","Middle school","Yes","Dismissal","Teen","Other","Teen"
3,18,2021,"3/18/2021",0,0,0,"Local","Spring","KY","Elementary","Yes","Lunch","36","Handgun","Adult"
3,15,2021,"3/15/2021",1,1,2,"Regional","Spring","IN","High School","No","Night","18","Multiple Handguns","Teen"
3,15,2021,"3/15/2021",1,1,2,"Regional","Spring","IN","High School","No","Night","20","Multiple Handguns","Adult"
3,13,2021,"3/13/2021",0,1,1,"Local","Spring","TX","Elementary","No","Night","66","Handgun","Adult"
3,9,2021,"3/9/2021",0,0,0,"Local","Spring","TN","Elementary","Yes","Afternoon Classes",NA,"Handgun",NA
3,8,2021,"3/8/2021",0,1,1,"Regional","Spring","SC","Elementary","Yes","Afternoon Classes","54","Handgun","Adult"
3,1,2021,"3/1/2021",1,0,1,"National","Spring","AR","Junior High","Yes","Morning Classes","15","Handgun","Teen"
2,26,2021,"2/26/2021",1,0,1,"National",NA,"LA","High School","No","Sport Event","35","Handgun","Adult"
2,24,2021,"2/24/2021",0,1,1,"Local","Winter","WA","Elementary","Yes","Afternoon Classes","Teen","Handgun","Teen"
2,16,2021,"2/16/2021",0,0,0,"Local","Winter","NC","Elementary","Yes","School Start","Child","Other","Child"
2,16,2021,"2/16/2021",0,0,0,"Local","Winter","NC","Elementary","Yes","School Start","Child","Other","Child"
2,1,2021,"2/1/2021",0,1,1,"Local","Winter","MI","K-8th","No","Night","Teen","Handgun","Teen"
1,27,2021,"1/27/2021",0,0,0,"Local","Winter","FL","K-8th","Yes","Afternoon Classes","Teen","Other","Teen"
1,27,2021,"1/27/2021",0,0,0,"Local","Winter","FL","K-8th","Yes","Afternoon Classes","Teen","Other","Teen"
1,27,2021,"1/27/2021",0,0,0,"Local","Winter","MS","High School","Yes","School Start","14","Handgun","Teen"
1,21,2021,"1/21/2021",0,0,0,"Local","Winter","OK","Elementary","Yes","Dismissal","Adult","Handgun","Adult"
1,21,2021,"1/21/2021",0,1,1,"Local","Winter","OH","High School","No","Evening","Adult","Handgun","Adult"
1,4,2021,"1/4/2021",0,0,0,"Local","Winter","NY","6th-12th","Yes","Morning Classes","Adult","Handgun","Adult"
12,29,2020,"12/29/2020",0,2,2,"Local","Winter","WA","High School","No","Evening",NA,"Handgun",NA
12,25,2020,"12/25/2020",0,0,0,"Local","Winter","FL","High School","No","School Event",NA,"Handgun",NA
12,11,2020,"12/11/2020",0,0,0,"Local","Winter","VA","Middle school","No","Evening",NA,"Handgun",NA
11,25,2020,"11/25/2020",0,1,1,"Regional","Fall","NC","Middle school","Yes","Morning Classes","13","Handgun","Teen"
11,25,2020,"11/25/2020",0,1,1,"Local","Fall","KS","Elementary","No","Not a School Day","31","Handgun","Adult"
11,17,2020,"11/17/2020",0,0,0,"Regional","Fall","TX","High School","Yes","Afternoon Classes","Teen","Handgun","Teen"
11,17,2020,"11/17/2020",0,0,0,"Local",NA,"MT","High School","No","Evening","19","Other","Adult"
11,16,2020,"11/16/2020",0,0,0,"Local","Fall","TN","Elementary","No",NA,"25","Handgun","Adult"
11,13,2020,"11/13/2020",0,1,1,"International","Fall","NC","Elementary","Yes","Afternoon Classes",NA,"Handgun",NA
10,26,2020,"10/26/2020",1,0,1,"Local","Fall","GA","High School","No","Evening","Adult","Handgun","Adult"
10,20,2020,"10/20/2020",1,0,1,"National","Fall","AR","Junior High","No","Night","17","Handgun","Teen"
10,14,2020,"10/14/2020",0,0,0,"Local","Fall","WA","Elementary","Yes","Morning Classes","23","Multiple Handguns","Adult"
10,14,2020,"10/14/2020",0,0,0,"Local","Fall","WA","Elementary","Yes","Morning Classes","26","Multiple Handguns","Adult"
10,12,2020,"10/12/2020",0,0,0,"Local","Fall","TX","High School","Yes","Afternoon Classes","Adult","Handgun","Adult"
10,12,2020,"10/12/2020",0,0,0,"Local","Fall","MN","High School","No","Sport Event",NA,"Shotgun",NA
10,9,2020,"10/9/2020",0,1,1,"Local","Fall","FL","High School",NA,NA,"18","Handgun","Teen"
10,5,2020,"10/5/2020",0,0,0,"Local","Fall","OK","High School","Yes","Before School","Teen","Other","Teen"
10,5,2020,"10/5/2020",1,1,2,"Local","Fall","AR","Elementary","Yes","Dismissal","Adult","Handgun","Adult"
10,5,2020,"10/5/2020",1,1,2,"Local","Fall","AR","Elementary","Yes","Dismissal",NA,"Handgun",NA
9,25,2020,"9/25/2020",0,0,0,"Local","Fall","IL","Elementary","No",NA,"30","Handgun","Adult"
9,24,2020,"9/24/2020",0,0,0,"Local","Fall","IL","Elementary","Yes","Afternoon Classes",NA,"Other",NA
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","25","Multiple Handguns","Adult"
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","25","Multiple Rifles","Adult"
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","27","Multiple Handguns","Adult"
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","27","Multiple Rifles","Adult"
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","29","Multiple Handguns","Adult"
9,24,2020,"9/24/2020",0,0,0,"National","Fall","CA","Middle school","Yes","Afternoon Classes","29","Multiple Rifles","Adult"
9,23,2020,"9/23/2020",0,0,0,"Local","Fall","PA","High School","No","After School","22","Handgun","Adult"
9,23,2020,"9/23/2020",0,0,0,"Local","Fall","FL","Middle school","Yes","Dismissal","18","Other","Teen"
9,21,2020,"9/21/2020",0,0,0,"Local","Fall","CA","Elementary","No","Evening","46","Rifle","Adult"
9,15,2020,"9/15/2020",0,0,0,"Regional","Fall","UT","High School","No","Night","27","Shotgun","Adult"
9,9,2020,"9/9/2020",0,0,0,"Local","Fall","PA","Elementary","No","Evening","Adult","Handgun","Adult"
8,30,2020,"8/30/2020",1,0,1,"Local","Summer","TX","Elementary","No","Night","17","Handgun","Teen"
8,25,2020,"8/25/2020",0,1,1,"Local","Summer","MO","Middle school","No","Night","Adult","Handgun","Adult"
8,17,2020,"8/17/2020",0,1,1,"Local","Summer","MI","K-8th","No","Not a School Day","Adult","Handgun","Adult"
8,4,2020,"8/4/2020",1,0,1,"Local","Summer","PA","Elementary","No","Not A School Day","29","Handgun","Adult"
7,29,2020,"7/29/2020",0,0,0,"Local",NA,"IL","High School","No","Night","17","Handgun","Teen"
7,27,2020,"7/27/2020",0,0,0,"Local","Summer","AZ","High School","No","Not a School Day","40","Handgun","Adult"
7,21,2020,"7/21/2020",1,0,1,"Local","Summer","SC","Elementary","No","Night","21","Handgun","Adult"
7,14,2020,"7/14/2020",0,0,0,"Local","Summer","MI","Elementary","No","Not a School Day","Adult","Handgun","Adult"
7,4,2020,"7/4/2020",1,0,1,"Local","Summer","IN","Elementary","No","Night","22","Handgun","Adult"
7,1,2020,"7/1/2020",0,0,0,"Local","Summer","IL","Elementary","No","Not a School Day","25","Handgun","Adult"
6,30,2020,"6/30/2020",0,0,0,"Local","Summer","OH","K-12th","No","Before School","19","Rifle","Adult"
5,27,2020,"5/27/2020",0,0,0,NA,"Spring","OH","Middle school","No","Night","21","Handgun","Adult"
5,27,2020,"5/27/2020",0,0,0,NA,"Spring","OH","Middle school","No","Night","Adult","Handgun","Adult"
5,25,2020,"5/25/2020",0,3,3,NA,"Spring","AL","Elementary","No","Night",NA,"Handgun",NA
5,19,2020,"5/19/2020",0,0,0,NA,"Spring","VA","Elementary","No","Not a School Day","18","Handgun","Teen"
5,15,2020,"5/15/2020",0,0,0,NA,"Spring","NC","High School","No","Night","Adult","Handgun","Adult"
4,19,2020,"4/19/2020",0,0,0,"Local","Spring","NC","Elementary","No","Night","24","Handgun","Adult"
4,13,2020,"4/13/2020",0,1,1,NA,"Spring","NE","Middle school","No","Not a School Day",NA,"Handgun",NA
3,30,2020,"3/30/2020",0,3,3,NA,"Spring","GA","Elementary","No","Night",NA,"Handgun",NA
3,30,2020,"3/30/2020",0,3,3,NA,"Spring","GA","Elementary","No","Night",NA,"Handgun",NA
3,24,2020,"3/24/2020",0,1,1,NA,"Spring","LA","Elementary","No","Not a School Day","Adult","Handgun","Adult"
3,24,2020,"3/24/2020",0,1,1,NA,"Spring","LA","Elementary","No","Not a School Day","26","Handgun","Adult"
3,24,2020,"3/24/2020",0,1,1,NA,"Spring","LA","Elementary","No","Not a School Day","Adult","Handgun","Adult"
3,18,2020,"3/18/2020",0,1,1,NA,"Spring","LA","High School","No","Night","Teen","Handgun","Teen"
3,15,2020,"3/15/2020",1,0,1,NA,"Spring","TX","High School","No","Not a School Day","20","Handgun","Adult"
3,13,2020,"3/13/2020",0,0,0,NA,"Spring","TN","Elementary","Yes","Morning Classes","Adult","Handgun","Adult"
3,5,2020,"3/5/2020",0,1,1,NA,"Spring","FL","K-12th","Yes","Lunch","55","Handgun","Adult"
3,2,2020,"3/2/2020",0,0,0,NA,"Spring","TX","High School","Yes","Morning Classes","Teen","Handgun","Teen"
2,12,2020,"2/12/2020",0,0,0,"Local","Winter","MO","Elementary","Yes","School Start","Adult","Handgun","Adult"
2,5,2020,"2/5/2020",0,0,0,"Regional","Winter","NH","High School","Yes","Morning Classes","17","Handgun","Teen"
2,4,2020,"2/4/2020",0,0,0,NA,"Winter","LA","High School","No","Sport Event","17","Rifle","Teen"
2,3,2020,"2/3/2020",0,1,1,NA,"Winter","FL","Elementary","No","Evening",NA,"Handgun",NA
2,1,2020,"2/1/2020",0,1,1,NA,"Winter","TX","Elementary","No","Not a School Day","Adult","Handgun","Adult"
1,31,2020,"1/31/2020",1,0,1,NA,"Winter","CA","High School","No","Sport Event","15","Handgun","Teen"
1,28,2020,"1/28/2020",0,0,0,NA,"Winter","NY","High School","Yes","Dismissal","16","Handgun","Teen"
1,28,2020,"1/28/2020",0,1,1,NA,"Winter","TN","High School","No","Evening","18","Handgun","Teen"
1,28,2020,"1/28/2020",0,1,1,NA,"Winter","TX","High School","No","Sport Event","17","Handgun","Teen"
1,27,2020,"1/27/2020",0,0,0,NA,"Winter","WA","Elementary","No","After School","18","Handgun","Teen"
1,23,2020,"1/23/2020",0,1,1,"Regional","Winter","CA","Elementary","Yes","Lunch",NA,"Handgun",NA
1,21,2020,"1/21/2020",0,0,0,NA,"Winter","NE","Middle school","No","Evening",NA,"Other",NA
1,21,2020,"1/21/2020",0,1,1,NA,"Winter","IL","High School","No","Sport Event",NA,"Handgun",NA
1,19,2020,"1/19/2020",0,2,2,NA,"Winter","TX","High School","No","Sport Event","Adult","Multiple Handguns","Adult"
1,19,2020,"1/19/2020",0,2,2,NA,"Winter","TX","High School","No","Sport Event","Adult","Multiple Handguns","Adult"
1,17,2020,"1/17/2020",0,1,1,NA,"Winter","MI","Elementary","Yes","Dismissal","25","Handgun","Adult"
1,14,2020,"1/14/2020",1,0,1,NA,"Winter","TX","High School","Yes","Dismissal","16","Handgun","Teen"
1,14,2020,"1/14/2020",0,0,0,NA,"Winter","TX","High School","No","Sport Event","17","Handgun","Teen"
1,14,2020,"1/14/2020",0,0,0,NA,"Winter","TX","High School","No","Sport Event","17","Handgun","Teen"
1,11,2020,"1/11/2020",1,1,2,NA,"Winter","TX","High School","No","Sport Event","15","Handgun","Teen"
1,10,2020,"1/10/2020",0,1,1,NA,"Winter","MS","Middle school","Yes","School Start","13","Other","Teen"
1,8,2020,"1/8/2020",0,0,0,NA,"Winter","FL","High School","Yes","Afternoon Classes",NA,"Handgun",NA
1,7,2020,"1/7/2020",0,0,0,NA,"Winter","WA","High School","No","Night","16","Other","Teen"
1,7,2020,"1/7/2020",0,0,0,NA,"Winter","WA","High School","No","Night","16","Other","Teen"
12,21,2019,"12/21/2019",0,4,4,NA,"Winter","LA","Elementary","No","Night","34","Handgun","Adult"
12,16,2019,"12/16/2019",0,1,1,NA,"Winter","CT","K-8th","Yes","School Start","Adult","Handgun","Adult"
12,13,2019,"12/13/2019",0,0,0,NA,"Winter","VA","High School","Yes","Afternoon Classes","17","Handgun","Teen"
12,11,2019,"12/11/2019",0,0,0,NA,"Winter","IN","Elementary","No","After School",NA,"Other",NA
12,11,2019,"12/11/2019",0,0,0,NA,"Winter","KS","Middle school","Yes","Dismissal",NA,"Other",NA
12,10,2019,"12/10/2019",0,0,0,NA,"Winter","AL","High School","Yes","School Start","22","Handgun","Adult"
12,4,2019,"12/4/2019",0,0,0,NA,"Winter","NM","High School","Yes","Afternoon Classes","Adult","Handgun","Adult"
12,3,2019,"12/3/2019",0,2,2,NA,"Winter","WI","Middle school","Yes","Dismissal","13","Other","Teen"
12,3,2019,"12/3/2019",0,1,1,NA,"Winter","WI","High School","Yes","Morning Classes","Adult","Handgun","Adult"
12,2,2019,"12/2/2019",0,0,0,"Local","Winter","WI","High School","Yes","Morning Classes","17","Handgun","Teen"
12,1,2019,"12/1/2019",1,0,1,NA,"Winter","AL","High School","No","Night","31","Handgun","Adult"
11,26,2019,"11/26/2019",0,2,2,NA,"Fall","WA","Elementary","Yes","Dismissal","38","Handgun","Adult"
11,25,2019,"11/25/2019",0,1,1,NA,"Fall","IL","Elementary","Yes","School Start",NA,"Handgun",NA
11,21,2019,"11/21/2019",0,1,1,NA,"Fall","IL","High School","Yes","Dismissal","19","Other","Adult"
11,15,2019,"11/15/2019",1,2,3,NA,"Fall","NJ","High School","No","Sport Event","31","Handgun","Adult"
11,15,2019,"11/15/2019",1,2,3,NA,"Fall","NJ","High School","No","Sport Event","28","Handgun","Adult"
11,14,2019,"11/14/2019",2,3,5,"National","Fall","CA","High School","Yes","School Start","16","Handgun","Teen"
11,11,2019,"11/11/2019",0,1,1,NA,"Fall","MD","High School","Yes","Afternoon Classes",NA,"Handgun",NA
10,29,2019,"10/29/2019",0,1,1,NA,"Fall","NY","High School","Yes","Dismissal",NA,"Handgun",NA
10,27,2019,"10/27/2019",0,1,1,NA,"Fall","MD","Elementary","No","Not a School Day","34","Handgun","Adult"
10,22,2019,"10/22/2019",0,1,1,"Local","Fall","CA","High School","Yes","Morning Classes","17","Handgun","Teen"
10,18,2019,"10/18/2019",0,1,1,NA,"Fall","GA","High School","No","Sport Event","19","Handgun","Adult"
10,18,2019,"10/18/2019",0,1,1,"Regional","Fall","MN","High School","Yes",NA,"28","Handgun","Adult"
10,15,2019,"10/15/2019",0,1,1,NA,"Fall","LA","High School","Yes","Morning Classes",NA,"Handgun",NA
10,11,2019,"10/11/2019",0,0,0,NA,"Fall","LA","High School","No","Sport Event","15","Handgun","Teen"
10,9,2019,"10/9/2019",0,5,5,NA,"Fall","MA","Elementary","No","After School",NA,"Other",NA
10,9,2019,"10/9/2019",0,5,5,NA,"Fall","MA","Elementary","No","After School",NA,"Other",NA
10,8,2019,"10/8/2019",0,1,1,NA,"Fall","CO","High School","No","Sport Event","16","Handgun","Teen"
10,2,2019,"10/2/2019",0,0,0,NA,"Fall","GA","High School","No","Sport Event","Adult","Handgun","Adult"
9,27,2019,"9/27/2019",0,0,0,NA,"Fall","NC","High School","No","Sport Event",NA,"Handgun",NA
9,27,2019,"9/27/2019",0,3,3,"Local","Fall","CA","High School","No","Sport Event","17","Multiple Handguns","Teen"
9,27,2019,"9/27/2019",0,3,3,"Local","Fall","CA","High School","No","Sport Event","Teen","Multiple Handguns","Teen"
9,20,2019,"9/20/2019",0,2,2,NA,"Fall","PA","High School","No","Sport Event",NA,"Handgun",NA
9,16,2019,"9/16/2019",1,0,1,NA,"Fall","VA","High School","Yes","Morning Classes",NA,"Handgun",NA
9,14,2019,"9/14/2019",0,2,2,NA,"Fall","TX","High School","No","Sport Event","Adult","Handgun","Adult"
9,13,2019,"9/13/2019",0,3,3,NA,"Fall","VA","Middle school","No","Sport Event",NA,"Handgun",NA
9,13,2019,"9/13/2019",0,0,0,NA,"Fall","UT","High School","No","Sport Event",NA,"Handgun",NA
9,10,2019,"9/10/2019",0,0,0,NA,"Fall","SC","High School","No","Dismissal","Teen","Handgun","Teen"
9,6,2019,"9/6/2019",1,0,1,"Regional","Fall","PA","Middle school","No","Sport Event","40","Handgun","Adult"
8,30,2019,"8/30/2019",0,1,1,NA,"Summer","OH","High School","No","Sport Event",NA,"Handgun",NA
8,30,2019,"8/30/2019",0,0,0,NA,"Summer","NC","High School","No","Sport Event","17","Handgun","Teen"
8,30,2019,"8/30/2019",0,10,10,NA,"Summer","AL","High School","No","Sport Event","17","Handgun","Teen"
8,27,2019,"8/27/2019",0,0,0,NA,"Summer","NY","High School","No","Not a School Day","Adult","Handgun","Adult"
8,24,2019,"8/24/2019",1,0,1,NA,"Summer","PA","Elementary","No","Evening",NA,"Handgun",NA
8,23,2019,"8/23/2019",0,0,0,NA,"Summer","MO","High School","No","Sport Event",NA,"Handgun",NA
8,20,2019,"8/20/2019",0,0,0,NA,"Summer","PA","High School","No","School Event","Adult","Handgun","Adult"
8,17,2019,"8/17/2019",0,2,2,NA,"Summer","GA","High School","No","Sport Event","15","Handgun","Teen"
8,15,2019,"8/15/2019",0,0,0,NA,"Summer","TN","High School","No","Sport Event","15","Handgun","Teen"
8,9,2019,"8/9/2019",0,2,2,"Local","Fall","NJ","High School","No","Night","16","Handgun","Teen"
8,8,2019,"8/8/2019",0,0,0,NA,"Summer","AL","Elementary","Yes","School Start","38","Handgun","Adult"
7,19,2019,"7/19/2019",0,0,0,NA,"Summer","CA","Middle school","Yes","Morning Classes","Teen","Other","Teen"
7,2,2019,"7/2/2019",0,1,1,NA,"Summer","AK","Elementary","No","Evening","22","Handgun","Adult"
7,1,2019,"7/1/2019",0,1,1,NA,"Summer","NY","Elementary","No","Night","Adult","Handgun","Adult"
6,29,2019,"6/29/2019",2,0,2,NA,"Summer","CO","Elementary","No","Night",NA,"Handgun",NA
6,21,2019,"6/21/2019",0,1,1,NA,"Summer","MI","High School","No","Sport Event",NA,"Handgun",NA
6,13,2019,"6/13/2019",0,0,0,NA,"Summer","NJ","Elementary","No","After School","46","Handgun","Adult"
6,12,2019,"6/12/2019",0,0,0,NA,"Summer","PA","Elementary","No","Night","16","Handgun","Teen"
6,12,2019,"6/12/2019",0,0,0,NA,"Summer","PA","Elementary","No","Night","18","Handgun","Teen"
6,12,2019,"6/12/2019",0,0,0,NA,"Summer","DC","Elementary","No","School Event",NA,"Handgun",NA
6,10,2019,"6/10/2019",0,1,1,NA,"Summer","IL","Other","Yes","Afternoon Classes","15","Handgun","Teen"
6,10,2019,"6/10/2019",0,1,1,NA,"Summer","IL","Other","Yes","Afternoon Classes","27","Handgun","Adult"
6,6,2019,"6/6/2019",0,1,1,NA,"Summer","IL","Elementary","No","Evening",NA,"Handgun",NA
5,30,2019,"5/30/2019",0,0,0,NA,"Spring","DC","Elementary","No","Night",NA,"Handgun",NA
5,22,2019,"5/22/2019",1,1,2,"Local","Spring","OH","Elementary","No","Evening","13","Handgun","Teen"
5,17,2019,"5/17/2019",0,0,0,NA,"Spring","OR","High School","Yes","Morning Classes","18","Shotgun","Teen"
5,17,2019,"5/17/2019",0,1,1,NA,"Spring","FL","High School","No","Sport Event","19","Handgun","Adult"
5,8,2019,"5/8/2019",0,1,1,NA,"Spring","IL","High School","Yes","Dismissal","18","Handgun","Teen"
5,7,2019,"5/7/2019",1,8,9,"International","Spring","CO","K-12th","Yes","Afternoon Classes","18","Multiple Handguns","Teen"
5,7,2019,"5/7/2019",1,8,9,"International","Spring","CO","K-12th","Yes","Afternoon Classes","16","Multiple Handguns","Teen"
4,30,2019,"4/30/2019",0,0,0,NA,"Spring","VA","High School","Yes","Afternoon Classes","16","Handgun","Teen"
4,30,2019,"4/30/2019",0,0,0,NA,"Spring","FL","Middle school","Yes","Lunch","Adult","Handgun","Adult"
4,26,2019,"4/26/2019",0,0,0,NA,"Spring","GA","High School","No","Dismissal","Adult","Handgun","Adult"
4,25,2019,"4/25/2019",0,0,0,"National","Spring","GA","Elementary","Yes","Lunch",NA,"Handgun",NA
4,24,2019,"4/24/2019",0,0,0,NA,"Spring","AR","High School","Yes","Lunch","14","Handgun","Teen"
4,17,2019,"4/17/2019",0,0,0,NA,"Spring","IL","Middle school","Yes","Afternoon Classes","Teen","Handgun","Teen"
4,5,2019,"4/5/2019",0,1,1,NA,"Spring","WI","Other","Yes","Morning Classes","59","Handgun","Adult"
4,1,2019,"4/1/2019",0,1,1,NA,"Spring","AR","High School","Yes","Morning Classes","14","Handgun","Teen"
3,27,2019,"3/27/2019",0,1,1,"Local","Spring","FL","Middle school","Yes","After School",NA,"Other",NA
3,27,2019,"3/27/2019",0,1,1,NA,"Spring","MS","Elementary","Yes","Dismissal",NA,"Handgun",NA
3,22,2019,"3/22/2019",0,0,0,NA,"Spring","AL","Elementary","Yes","Morning Classes","74","Handgun","Adult"
3,13,2019,"3/13/2019",0,0,0,NA,"Spring","FL","High School","Yes","Morning Classes","17","Handgun","Teen"
3,1,2019,"3/1/2019",0,0,0,"Local","Spring","KS","Elementary","Yes","Afternoon Classes","26","Handgun","Adult"
2,26,2019,"2/26/2019",0,1,1,"Local","Winter","AL","High School","Yes","Morning Classes","Teen","Handgun","Teen"
2,17,2019,"2/17/2019",1,0,1,NA,"Winter","CO","High School","No","Not a School Day","31","Handgun","Adult"
2,14,2019,"2/14/2019",0,0,0,NA,"Winter","NM","High School","Yes","School Start","16","Handgun","Teen"
2,12,2019,"2/12/2019",1,0,1,"Local","Winter","MO","High School","No","Sport Event","21","Handgun","Adult"
2,8,2019,"2/8/2019",0,1,1,NA,"Winter","MD","High School","Yes","Afternoon Classes","25","Handgun","Adult"
